"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2019","0.003117","0.003331","0.003608","0.003021","325.07M","-6.47%"
"May 15, 2019","0.003332","0.003061","0.003356","0.003019","252.93M","8.86%"
"May 14, 2019","0.003061","0.002714","0.003213","0.002705","392.29M","12.41%"
"May 13, 2019","0.002723","0.002607","0.002796","0.002589","293.04M","4.65%"
"May 12, 2019","0.002602","0.002723","0.002818","0.002578","259.84M","-4.92%"
"May 11, 2019","0.002737","0.002501","0.002816","0.002493","402.78M","9.43%"
"May 10, 2019","0.002501","0.002490","0.002523","0.002443","251.33M","0.45%"
"May 09, 2019","0.002490","0.002521","0.002540","0.002430","287.65M","-1.17%"
"May 08, 2019","0.002519","0.002508","0.002540","0.002490","253.52M","0.27%"
"May 07, 2019","0.002512","0.002571","0.002635","0.002506","287.22M","-2.34%"
"May 06, 2019","0.002573","0.002608","0.002618","0.002496","290.27M","-1.50%"
"May 05, 2019","0.002612","0.002651","0.002668","0.002584","163.84M","-1.52%"
"May 04, 2019","0.002652","0.002714","0.002775","0.002547","350.32M","-2.07%"
"May 03, 2019","0.002708","0.002599","0.002718","0.002591","295.04M","4.07%"
"May 02, 2019","0.002602","0.002526","0.002644","0.002518","392.07M","2.98%"
"May 01, 2019","0.002527","0.002504","0.002534","0.002477","337.32M","0.87%"
"Apr 30, 2019","0.002505","0.002433","0.002508","0.002400","206.48M","2.98%"
"Apr 29, 2019","0.002432","0.002507","0.002531","0.002404","454.86M","-2.99%"
"Apr 28, 2019","0.002507","0.002555","0.002573","0.002492","140.56M","-1.96%"
"Apr 27, 2019","0.002558","0.002559","0.002593","0.002490","463.87M","-0.21%"
"Apr 26, 2019","0.002563","0.002446","0.002574","0.002406","190.50M","4.78%"
"Apr 25, 2019","0.002446","0.002540","0.002591","0.002436","285.33M","-3.70%"
"Apr 24, 2019","0.002540","0.002697","0.002704","0.002460","345.74M","-6.10%"
"Apr 23, 2019","0.002705","0.002753","0.002837","0.002701","254.64M","-1.83%"
"Apr 22, 2019","0.002755","0.002727","0.002786","0.002654","375.19M","1.11%"
"Apr 21, 2019","0.002725","0.002812","0.002833","0.002655","323.63M","-3.10%"
"Apr 20, 2019","0.002812","0.002859","0.002865","0.002800","274.81M","-1.63%"
"Apr 19, 2019","0.002859","0.002939","0.002941","0.002827","309.79M","-2.77%"
"Apr 18, 2019","0.002940","0.002770","0.003001","0.002759","200.24M","6.16%"
"Apr 17, 2019","0.002770","0.002770","0.002793","0.002742","207.80M","-0.20%"
"Apr 16, 2019","0.002775","0.002750","0.002788","0.002696","176.40M","0.98%"
"Apr 15, 2019","0.002749","0.002847","0.002890","0.002727","200.03M","-3.46%"
"Apr 14, 2019","0.002847","0.002841","0.002865","0.002775","294.80M","0.22%"
"Apr 13, 2019","0.002841","0.002788","0.002908","0.002778","216.80M","1.93%"
"Apr 12, 2019","0.002787","0.002737","0.002839","0.002652","223.16M","1.83%"
"Apr 11, 2019","0.002737","0.002963","0.002980","0.002648","296.19M","-7.62%"
"Apr 10, 2019","0.002963","0.002853","0.003090","0.002840","214.42M","3.82%"
"Apr 09, 2019","0.002854","0.002984","0.003005","0.002705","325.02M","-4.16%"
"Apr 08, 2019","0.002978","0.003406","0.003406","0.002903","345.21M","-12.57%"
"Apr 07, 2019","0.003406","0.003392","0.003550","0.003240","224.23M","0.26%"
"Apr 06, 2019","0.003397","0.003566","0.003571","0.003312","212.73M","-4.62%"
